Time,UserID,LocationX,LocationY,RSRP1,RSRQ1,RSRP2,RSRQ2,RSRP3,RSRQ3,RSRP4,RSRQ4
0.2,1,163.14078831073846,809.6848210441912,-60.31443565544038,nan,-72.1920855181423,nan,-76.95720349363528,nan,-77.34740084963053,nan
0.2,2,347.15057422369165,170.3448581438707,-67.38087033079516,nan,-72.57154251849481,nan,-72.61724370912637,nan,-73.8861443974327,nan
0.2,3,433.7305233641224,21.06239785601313,-63.34726131642016,nan,-71.22452845198555,nan,-75.45609260922141,nan,-76.03959010551054,nan
0.2,4,884.6986016944697,490.15356539424437,-62.74214354348626,nan,-69.76969437902036,nan,-75.9078741775035,nan,-76.74894815517543,nan
0.2,5,1091.2731856200487,-22.118987866475763,-68.46985663405785,nan,-75.28591831512135,nan,-76.24803568244636,nan,-78.69499730471823,nan
0.2,6,698.9235040900597,-225.78833995504064,-65.85976864237094,nan,-73.54979398062372,nan,-75.01956917665396,nan,-79.91311817799651,nan
0.2,7,51.9251200909268,10.863740292991583,-71.87205303004446,nan,-73.52480229202989,nan,-73.67863283404954,nan,-74.24362816969675,nan
0.2,8,245.54129877205023,239.8643944392219,-67.36899993252317,nan,-69.18130814315808,nan,-71.2885954048231,nan,-75.66317794426007,nan
0.2,9,333.96746112961495,669.3849093789214,-67.08497287270741,nan,-71.34293383910884,nan,-73.10765577924674,nan,-73.98468351314573,nan
0.2,10,380.822917993149,68.3447004666098,-63.258197249234684,nan,-69.75603020195551,nan,-75.19725603838705,nan,-76.67495619315194,nan
0.2,11,762.8761362008993,633.6035712775373,-67.7468808950054,nan,-68.62345777646621,nan,-71.61805573101658,nan,-74.18984488172681,nan
0.2,12,-81.71806542306426,668.3076507227722,-66.0636953830177,nan,-71.6029927687119,nan,-75.25313955443515,nan,-77.22229309775112,nan
0.2,13,477.06776322288874,592.5905127856865,-63.28640812471408,nan,-70.01137814841218,nan,-72.65723492912939,nan,-74.12059548802605,nan
0.2,14,859.8561067508836,669.7149861237373,-66.52468697207955,nan,-73.1586845373427,nan,-73.60241590679456,nan,-73.88918592958464,nan
0.2,15,600.4943333088744,-56.86511419229351,-65.65498975068864,nan,-68.99282198152274,nan,-73.98670686894901,nan,-75.99582097208642,nan
0.2,16,651.3161386111907,781.676002691979,-61.22725054883226,nan,-70.35104195342406,nan,-72.17808099152079,nan,-76.31385148937264,nan
0.2,17,787.9619312299318,302.27788583375843,-67.73432044126609,nan,-69.25241225662302,nan,-70.76577054639294,nan,-75.59846347437038,nan
0.2,18,300.6350670806403,567.8263546227298,-67.09520629448384,nan,-69.50145126670489,nan,-71.27104612143333,nan,-74.10315609400025,nan
0.2,19,796.6637425441851,49.931229881083944,-60.659200824229856,nan,-68.63962619395458,nan,-70.48005018449598,nan,-72.63295935778947,nan
0.2,20,313.9578006751357,930.6189935966742,-62.24054990455793,nan,-71.51148713240065,nan,-72.46903671908548,nan,-77.14124569736359,nan
0.2,21,453.7462168168778,261.621562914793,-63.27852620494142,nan,-70.54153292940825,nan,-72.4923244402241,nan,-74.32392073378303,nan
0.2,22,279.2713098016446,203.94702592743553,-67.62008588787177,nan,-68.31345664697304,nan,-72.78823948652625,nan,-75.25575381152149,nan
0.2,23,1205.8362297825495,647.552449353653,-72.44976779814456,nan,-73.44005724938235,nan,-75.78303676313817,nan,-77.9740290806416,nan
0.2,24,507.55295241227947,447.06993178200213,-57.363448447975756,nan,-57.556130258711086,nan,-68.31734984065837,nan,-71.41980952015255,nan
0.2,25,736.81781723775,811.7790318221465,-54.42236173626736,nan,-71.06299050384577,nan,-71.68182444300987,nan,-73.67633567056217,nan
0.2,26,-141.91461323410346,1001.274434921403,-73.70729303435337,nan,-74.23573172871406,nan,-77.23355380959791,nan,-78.5438836402524,nan
0.2,27,1079.9880752798235,265.00055221542135,-70.63208310957704,nan,-73.56925205408345,nan,-73.98400152118998,nan,-73.98752881005507,nan
0.2,28,1120.974073960279,177.73459350409843,-71.64488830787738,nan,-74.22389343333501,nan,-75.49107256619679,nan,-77.03742022122256,nan
0.2,29,656.2901005743544,941.7488997416688,-60.56535963512007,nan,-70.39152483293583,nan,-73.55147460861119,nan,-77.75634441870695,nan
0.2,30,1035.3712543449303,650.2889064793565,-68.54833897137328,nan,-72.1691225612835,nan,-74.21229540053945,nan,-76.54297030393391,nan
0.2,31,776.8332750952663,388.463970404143,-66.90058882055806,nan,-70.81690278419799,nan,-72.34254277335842,nan,-74.03495761322822,nan
0.2,32,1071.928589648549,579.7267986215497,-69.83831125442208,nan,-72.03733528902049,nan,-73.65897200302204,nan,-74.75742606241968,nan
0.2,33,608.0496753187609,-65.47436346331357,-64.67088219376058,nan,-69.28507977639666,nan,-73.93736169026589,nan,-76.3274485483979,nan
0.2,34,-170.24849305132634,88.55306021383079,-69.5224910596432,nan,-76.15220160918626,nan,-76.69521286591403,nan,-77.9270219868187,nan
0.2,35,-9.081140232839717,-74.59687788983382,-71.13767090501831,nan,-73.9313294005862,nan,-75.45709011280024,nan,-78.06505544100364,nan
0.2,36,767.152637994986,457.855889428415,-66.4723048965412,nan,-72.26924540391879,nan,-72.60317308470634,nan,-73.543012289949,nan
0.2,37,595.1207590410703,584.7801389988099,-67.86435336212126,nan,-71.32154073118801,nan,-72.33904563435081,nan,-73.97246334899133,nan
